id,title,released,developer,publisher,released_on
1380,"Hard Hat Mack",1984,"Michael Abbot, Matthew Alexander","Electronic Arts",1984-01-01
1381,Hardline,1997,"Cryo Interactive","Virgin Interactive",1997-01-01
1382,"Hard Nova",1990,"Malibu Interactive","Electronic Arts",1990-01-01
1383,"Hare Raising Havoc",1991,"BlueSky Software","Disney Software",1991-01-01
1384,"Harley-Davidson: The Road to Sturgis",1989,"Incredible Technologies",Mindscape,1989-01-01
1385,Harpoon,1989,"Applied Computing Services, Three-Sixty Pacific","Three-Sixty Pacific",1989-01-01
1386,"Harpoon 2",1994,"Three-Sixty Pacific","Three-Sixty Pacific",1994-01-01
1387,"Harpoon II: Admiral's Edition",1996,"Three-Sixty Pacific","Eidos Interactive",1996-01-01
1388,"Harrier 7","","","",
1389,"Harrier Combat Simulator",1987,Mindscape,Mindscape,1987-01-01
1390,"Harrier Jump Jet",1992,MicroProse,MicroProse,1992-01-01
1391,"Harry and the Haunted House",1994,"Living Books","Living Books",1994-01-01
1392,Harvester,1996,"DigiFX Interactive","Merit Studios",1996-01-01
1393,Hattrick!,1995,"Ikarion Software","Ikarion Software",1995-01-01
1394,"Headline Harry and the Great Paper Race","","","",
1395,Heartlight,1994,"xLand Games","Epic MegaGames",1994-01-01
1396,"Heart of China",1991,"Sierra On-line",Dynamix,1991-01-01
1397,"Heaven & Earth",1992,"Buena Vista Games","Buena Vista Games",1992-01-01
1398,"Heavy Barrel",1989,"Data East","Data East",1989-01-01
1399,"Heavy Water Jogger","","","",
1400,Heimdall,1992,"The 8th Day","Core Design",1992-01-01
1401,"Heimdall 2: Into the Hall of Worlds",1994,"The 8th Day","Core Design",1994-01-01
1402,"Heirs to the Throne","","","",
1403,"Helicopter Mission","","","",
1404,Helious,"","","",
1405,"Helious II","","","",
1406,"Hell: A Cyberpunk Adventure",1994,"Take-Two Interactive",GameTek,1994-01-01
1407,"HellCat Ace",1984,MicroProse,MicroProse,1984-01-01
1408,"Hellfire Zone","","","",
1409,"Hell to Pay","","","",
1410,"Helter Skelter","","","",
1411,Heretic,1994,"Raven Software","id Software",1994-01-01
1412,"Heretic: Shadow of the Serpent Riders",1996,"Raven Software","id Software",1996-01-01
1413,"Heroes of Might and Magic: A Strategic Quest",1995,"New World Computing","New World Computing",1995-01-01
1414,"Heroes of Might and Magic II",1996,"New World Computing","3DO Company",1996-01-01
1415,"Heroes of the 357th","","","",
1416,"Heroes of the Lance",1989,"U.S. Gold","Strategic Simulations",1989-01-01
1417,"Heros: The Sanguine Seven",1993,"Jeffrey Fullerton","Safari Software",1993-01-01
1418,"Herrscher der Meere",1997,NovaTrix,"Attic Entertainment Software",1997-01-01
1419,"Hexen: Beyond Heretic",1995,"Raven Software","id Software",1995-01-01
1420,"Hexen: Deathkings of the Dark Citadel",1996,"Raven Software","id Software",1996-01-01
1421,"Hexuma - Das Auge des Kal","","","",
1422,Hexxagon,1993,"Argo Games","Software Creations",1993-01-01
1423,"Hexxagon 2",1993,"Argo Games","Software Creations",1993-01-01
1424,"Hexx: Heresy of the Wizard",1994,Psygnosis,Psygnosis,1994-01-01
1425,"Hidden Agenda",1988,"TRANS Fiction Systems","Springboard Software",1988-01-01
1426,"Hidden Below, The",1994,"Soft Enterprises","Soft Enterprises",1994-01-01
1427,"High Command: Europe 1939-45","","","",
1428,"High Seas Trader",1994,"Impressions Games","Impressions Games",1994-01-01
1429,"High Stakes",1986,Angelsoft,Mindscape,1986-01-01
1430,"Highway Hunter",1994,"Omega Integral Systems","Safari Software",1994-01-01
1431,"Highway Patrol 2","","","",
1432,Hillsfar,1989,"Westwood Studios","Strategic Simulations",1989-01-01
1433,"Hill Street Blues",1991,"","",1991-01-01
1434,Hind,1996,"Digital Integration","Digital Integration, Interactive Magic",1996-01-01
1435,Hi-Octane,1995,"Bullfrog Productions","Electronic Arts",1995-01-01
1436,"Hired Guns",1993,"DMA Design",Psygnosis,1993-01-01
1437,"History Line: 1914-1918",1992,"Blue Byte","Blue Byte, Strategic Simulations",1992-01-01
1438,"Hitchiker's Guide to the Galaxy, The",1984,"Douglas Adams, Steve Meretzky",Infocom,1984-01-01
1439,"Hobbit, The",1983,"Beam Software","Melbourne House",1983-01-01
1440,"Hockey League Simulator",1989,"Bethesda Softworks","Bethesda Softworks",1989-01-01
1441,"Hockey League Simulator 2",1992,"Bethesda Softworks","Bethesda Softworks",1992-01-01
1442,"Hocus Pocus",1994,"Moonlite Software","Apogee Software",1994-01-01
1443,"Hole in one",1995,"Really Interesting Software",GameTek,1995-01-01
1444,"Holy Grail, The",1984,"Hayden Software","Hayden Software",1984-01-01
1445,"Hollywood Hijinx",1986,Infocom,Infocom,1986-01-01
1446,"Hollywood Pictures","","","",
1447,"Home Alone",1991,"Manley & Associates","Capstone Software",1991-01-01
1448,"Home Alone 2: Lost in New York",1992,"Manley & Associates","Capstone Software",1992-01-01
1449,"Home Run Derby","","","",
1450,"Hometown U.S.A.","","","",
1451,"Homey D. Clown",1993,"Synergistic Software","Capstone Software",1993-01-01
1452,"Hong Kong Mahjong","","","",
1453,Hook,1992,"Shadow Software","Ocean Software",1992-01-01
1454,"Hoosier City",1991,"MVP Software","MVP Software",1991-01-01
1455,"Horde, The",1994,"Toys for Bob","Crystal Dynamics",1994-01-01
1456,"Horror Zombies from the Crypt",1990,"Astral Software","Millennium Interactive, U.S. Gold",1990-01-01
1457,"Hostage: Rescue Mission",1988,Infogrames,"Infogrames, Superior Software",1988-01-01
1458,"Hound of Shadow, The",1989,"Eldritch Games","Electronic Arts",1989-01-01
1459,Hoverforce,"","","",
1460,"Hovertank 3D",1991,"id Software",Softdisk,1991-01-01
1461,"How to Weigh an Elephant","","","",
1462,"Hoyle's Official Book of Games: Volume 1",1989,"Sierra On-Line","Sierra On-Line",1989-01-01
1463,"Hoyle's Official Book of Games: Volume 2",1990,"Sierra On-Line","Sierra On-Line",1990-01-01
1464,"Hoyle's Official Book of Games: Volume 3",1991,"Sierra On-Line","Sierra On-Line",1991-01-01
1465,"Hugo's House of Horrors",1990,"Gray Design Associates","Gray Design Associates",1990-01-01
1466,"Hugo 2: Whodunit?",1991,"Gray Design Associates","Gray Design Associates",1991-01-01
1467,"Hugo 3: Jungle of Doom",1992,"Gray Design Associates","Gray Design Associates",1992-01-01
1468,"The Humans",1992,"Imagitec Design",GameTek,1992-01-01
1469,"Humans 2: The Jurassic Levels",1992,"Imagitec Design",GameTek,1992-01-01
1470,"Humans 3: Evolution Lost in Time",1995,"Imagitec Design",GameTek,1995-01-01
1471,"Hunt for Red October, The",1988,"Oxford Digital Enterprises","Datasoft, Grandslam Entertainment, Software Toolworks",1988-01-01
1472,"Hunt for Red October, The",1990,"Images Software","Grandslam Entertainment",1990-01-01
1473,H.U.R.L.,1995,"Millennium Media Group","Deep River Publishing",1995-01-01
1474,"Hyper 3-D Pinball","","","",
1475,Hyperspeed,1991,MicroProse,MicroProse,1991-01-01
1476,"Hyper Tank","","","",
1477,H!Zone,1996,"WizardWorks Software","WizardWorks Software",1996-01-01
1478,"I-0 - Jailbait on Interstate Zero","","","",
1479,"IBM BASIC Quiz, The","","","",
1480,"ICON: The Quest for the Ring","","","",
1481,"I, Damiano: The Wizard of Partestrada",1985,Imagic,"Bantam Software",1985-01-01
1482,"iF-16 Fighting Falcon","","","",
1483,"If It Moves, Shoot It!",1989,"Brøderbund Software","Brøderbund Software",1989-01-01
1484,Ignition,1995,"Unique Development Studios","Virgin Interactive",1995-01-01
1485,"Igor: Objective Uikokahonia","","","",
1486,"I Have No Mouth, and I Must Scream",1995,"The Dreamers Guild",Cyberdreams,1995-01-01
1487,"Ikari Warriors",1987,SNK,"Data East",1987-01-01
1488,"Ikari Warriors II: Victory Road",1988,SNK,"Data East",1988-01-01
1489,"Ikari Warriors III: The Rescue",1989,SNK,"Data East",1989-01-01
1490,"Immortal, The",1990,Sandcastle,"Electronic Arts",1990-01-01
1491,Impact!,"","","",
1492,Imperium,"","","",
1493,"Imperium Galactica",1997,"Digital Reality","GT Interactive",1997-01-01
1494,"Imperium Romanum",1996,"","",1996-01-01
1495,"Impossible Mission II",1988,Novotrade,Epyx,1988-01-01
1496,Inca,1992,"Coktel Vision","Sierra On-Line",1992-01-01
1497,"Inca II: Nations of Immortality",1993,"Coktel Vision","Sierra On-Line",1993-01-01
1498,"Incredible Hulk, The: The Pantheon Saga",1997,"Attention To Detail, Silicon Dreams","Eidos Interactive",1997-01-01
1499,"Incredible Machine, The",1990,"","Sierra Entertainment",1990-01-01
1500,"Incredible Machine 2, The",1994,"","Sierra Entertainment",1994-01-01
1501,Incunabula,1984,"Avalon Hill","Avalon Hill",1984-01-01
1502,"Indiana Jones and the Fate of Atlantis",1992,LucasArts,LucasArts,1992-01-01
1503,"Indiana Jones and the Fate of Atlantis: The Action Game","","","",
1504,"Indiana Jones and the Fate of Atlantis: The Graphic Adventure","","","",
1505,"Indiana Jones and the Temple of Doom",1989,Atari,Mindscape,1989-01-01
1506,"Indiana Jones in Revenge of the Ancients",1987,Angelsoft,Mindscape,1987-01-01
1507,"Indianapolis 500: The Simulation",1989,"Papyrus Design","Electronic Arts",1989-01-01
1508,"IndyCar Racing",1993,"Papyrus Design","Virgin Interactive",1993-01-01
1509,"IndyCar Racing II",1995,"Papyrus Design","Sierra On-Line",1995-01-01
1510,"In Extremis",1993,"Blue Sphere","U.S. Gold",1993-01-01
1511,"Infernal Tome, The","","","",
1512,Inferno,"","","",
1513,Infestation,"","","",
1514,Infidel,1983,Infocom,Infocom,1983-01-01
1515,Infiltrator,1986,"Chris Gray Enterprises","U.S. Gold, Mindscape",1986-01-01
1516,"Infiltrator II","","","",
1517,"Ingrid's Back",1988,"Level 9","Level 9",1988-01-01
1518,"Inherit the Earth: Quest for the Orb",1994,"The Dreamers Guild","New World Computing",1994-01-01
1519,"Innocent Until Caught",1993,"Divide By Zero",Psygnosis,1993-01-01
1520,"In Pursuit of Greed","","","",
1521,"In Search of Dr. Riptide",1994,"MindStorm Software","Pack Media",1994-01-01
1522,"In Search of the Most Amazing Thing",1983,"Tom Snyder Productions","Spinnaker Software",1983-01-01
1523,"Inside Trader - The Authentic Stock Trading Game",1987,"SoftServ, Inc.","Cosmi Corporation",1987-01-01
1524,"Intelligent Strategy Games 10","","","",
1525,"International Hockey",1987,"Artworx Software","Superior Quality Software",1987-01-01
1526,"International Karate",1989,"System 3 Software","System 3 Software",1989-01-01
1527,"International Ninja Rabbits","","","",
1528,"International Open Gold Championship","","","",
1529,"International Sensible Soccer",1994,"Sensible Software","Renegade Software",1994-01-01
1530,"International Soccer",1994,"Zeppelin Games","Zeppelin Games",1994-01-01
1531,"International Sports Challenge","","","",
1532,"International Tennis","","","",
1533,"International Tennis Open",1992,Infogrames,"Philips Interactive Media",1992-01-01
1534,Interphase,1989,"The Assembly Line","Image Works",1989-01-01
1535,Interpose,"","","",
1536,"In the Dead of Night","","","",
1537,"Into the Eagle's Nest",1987,Mindscape,Pandora,1987-01-01
1538,"Into the Void","","","",
1539,"Invaders 1978","","","",
1540,"Invasion of the Mutant Space Bats of Doom","","","",
1541,Invest,"","","",
1542,"Iron & Blood: Warriors of Ravenloft",1997,"Take-Two Interactive","Acclaim Entertainment",1997-01-01
1543,"Iron Cross","","","",
1544,"Iron Lord",1990,Ubisoft,Ubisoft,1990-01-01
1545,"Iron Man / X-O Manowar in Heavy Metal",1996,"Real Sports, Realtime Associates","Acclaim Entertainment",1996-01-01
1546,"Iron Seed",1994,"Channel 7",Softdisk,1994-01-01
1547,"Ishar: Legend of the Fortress",1992,Silmarils,Silmarils,1992-01-01
1548,"Ishar 2: Messengers of Doom",1993,Silmarils,Silmarils,1993-01-01
1549,"Ishar 3: The Seven Gates of Infinity",1994,Silmarils,Silmarils,1994-01-01
1550,"Ishido: The Way of Stones",1990,"Publishing International","Accolade Inc.",1990-01-01
1551,"Island Hopper","","","",
1552,"Island of Dr. Brain, The",1992,"Sierra On-Line","Sierra On-Line",1992-01-01
1553,"Island Peril",1995,"Electric Fantasties","Atlantean Interactive Games",1995-01-01
1554,"Isle of the Dead",1993,"Rainmaker Software","Merit Software",1993-01-01
1555,"İstanbul Efsaneleri: Lale Savaşçıları",1996,SiliconWorx,"Raks New Media",1996-01-01
1556,"It Came from the Desert",1991,"Level 9",Cinemaware,1991-01-01
1557,Iznogoud,"","","",
1558,J-Bird,1983,"Orion Software","Orion Software",1983-01-01
1559,Jabato,"","","",
1560,Jabbertalky,"","","",
1561,"Jack Flash","","","",
1562,"Jack in the Dark",1993,Infogrames,"Interplay Entertainment",1993-01-01
1563,"Jack Nicklaus Golf & Course Design","","","",
1564,"Jack Nicklaus' Greatest 18 Holes of Major Championship Golf",1988,"Sculptured Software","Accolade Inc.",1988-01-01
1565,"Jack the Ripper",1995,"Intergalactic Development",GameTek,1995-01-01
1566,"Jagged Alliance",1994,"Madlab Software",Sir-Tech,1994-01-01
1567,"Jagged Alliance: Deadly Games",1995,"Madlab Software",Sir-Tech,1995-01-01
1568,"Jahangir Khan's World Championship Squash","","","",
1569,"Jai Alai","","","",
1570,"James Bond 007: A View to A Kill","","","",
1571,"James Bond 007: Goldfinger",1986,Angelsoft,Mindscape,1986-01-01
1572,"James Clavell's Shōgun",1989,Infocom,Infocom,1989-01-01
1573,"James Pond 2: Codename RoboCod",1993,"Vectordean Ltd, Millennium Interactive","Millennium Interactive",1993-01-01
1574,Jammit,1994,"GTE Vantage","GTE Entertainment",1994-01-01
1575,"Jane's Combat Simulations: Advanced Tactical Fighters",1996,"Origin Systems","Electronic Arts",1996-01-01
1576,"Jane's Combat Simulations: Advanced Tactical Fighters: Nato Fighters",1996,"Origin Systems","Electronic Arts",1996-01-01
1577,"Janitor Joe",1984,"Kevin Bales","",1984-01-01
1578,"Jason Jupiter",1989,"Neil A. Drage","PC Plus",1989-01-01
1579,"Jason Jupiter II","","Neil A. Drage","",
1580,"Jazz Jackrabbit",1994,"Epic Megagames, Arjan Brussee","Epic Megagames",1994-01-01
1581,"Jazz Jackrabbit CD-ROM",1994,"Epic Megagames, Arjan Brussee","Epic Megagames",1994-01-01
1582,"Jazz Jackrabbit: Christmas Edition",1994,"Epic Megagames, Arjan Brussee","Epic Megagames",1994-01-01
1583,"Jazz Jackrabbit: Holiday Hare 1995",1995,"Epic Megagames, Arjan Brussee","Epic Megagames",1995-01-01
1584,"J.B. Harold Murder Club",1991,"Riverhill Software",NEC,1991-01-01
1585,Jeopardy!,1995,Sharedata,GameTek,1995-01-01
1586,"Jesus Matchup","","","",
1587,Jet,1985,subLOGIC,subLOGIC,1985-01-01
1588,Jetfighter,1988,"Velocity Development","Velocity Development",1988-01-01
1589,"Jetfighter 2",1990,"Velocity Development","Velocity Development",1990-01-01
1590,"Jetfighter 2: Advanced Mission Disk",1992,"Velocity Development","Velocity Development",1992-01-01
1591,"Jetfighter 3",1996,"Mission Studios","Mission Studios",1996-01-01
1592,"Jetfighter 3 Enhanced Campaign CD",1997,"Mission Studios","Mission Studios",1997-01-01
1593,"Jetfighter: Full Burn",1998,"Mission Studios","Interplay Entertainment",1998-01-01
1594,"Jetman [disambiguation needed]","","","",
1595,Jetpack,1993,"Adept Software","Software Creations",1993-01-01
1596,"Jetset [disambiguation needed]","","","",
1597,"Jet Set Willy",1984,"Software Projects","Software Projects",1984-01-01
1598,"The Jetsons: By George, in Trouble Again","","","",
1599,"The Jetsons: The Computer Game","","","",
1600,Jetstrike,1994,"Shadow Software","Rasputin Software",1994-01-01
1601,"Jewels of Darkness",1986,"Level 9","Rainbird Software",1986-01-01
1602,"Jigsaw Puzzle","","","",
1603,"Jill of the Jungle",1992,"Epic Megagames","Epic Megagames",1992-01-01
1604,"Jim Henson's Muppet Adventure No. 1: Chaos at the Carnival",1989,"","",1989-01-01
1605,"Jimmy Connors Pro Tennis Tour","","","",
1606,"Jimmy White's 'Whirlwind' Snooker",1991,"Virgin Interactive","Virgin Interactive",1991-01-01
1607,"Jim Power: The Lost Dimension in 3-D",1993,Loriciel,Loriciel,1993-01-01
1608,Jinxter,1987,"Magnetic Scrolls","Rainbird Software",1987-01-01
1609,"J & J's Vegas Pack: Black-Jack","","","",
1610,"Joan of Arc: Siege and the Sword","","","",
1611,"Joe and Mac: Caveman Ninja","","","",
1612,"Joe Montana Football","","","",
1613,"John Elway's Quarterback",1988,"Leland Corporation","Melbourne House",1988-01-01
1614,"John Madden Football",1989,"EA Tiburon","Electronic Arts",1989-01-01
1615,"John Madden Football II",1991,"Electronic Arts","Electronic Arts",1991-01-01
1616,"Jonah Lomu Rugby",1997,Codemasters,"Rage Software",1997-01-01
1617,Jonathan,"","","",
1618,"Jones in the Fast Lane",1990,"Sierra Entertainment","Sierra Entertainment",1990-01-01
1619,"Jonny Quest: Cover-Up at Roswell",1996,"Virgin Media","",1996-01-01
1620,"Jordan vs. Bird: One on One",1988,"Electronic Arts","Electronic Arts",1988-01-01
1621,"Joshua & the Battle of Jericho",1992,"","",1992-01-01
1622,"Journey: The Quest Begins",1989,Infocom,Infocom,1989-01-01
1623,Joust,1983,"Williams Electronics",Atari,1983-01-01
1624,"Jr. Pac-Man","","","",
1625,"J. R. R. Tolkien's Riders of Rohan",1991,"","",1991-01-01
1626,"J.R.R. Tolkien's The Lord of the Rings, Vol. I",1990,"Interplay Entertainment","Interplay Entertainment",1990-01-01
1627,"J.R.R. Tolkien's The Lord of the Rings, Vol. II: The Two Towers",1990,"Interplay Entertainment","Interplay Entertainment",1990-01-01
1628,"J.R.R. Tolkien's War in Middle Earth",1988,"Melbourne House","Melbourne House",1988-01-01
1629,"Judge Dredd","","","",
1630,"Judge Dredd Pinball","","","",
1631,"Juggles' Butterfly","","","",
1632,Jumpjet,1990,"Monte Variakojis",Montsoft,1990-01-01
1633,Jumpman,1984,Epyx,IBM,1984-01-01
1634,"Jumpman Lives!",1983,Epyx,Epyx,1983-01-01
1635,"Jump 'n Bump",1998,"Brainchild Design","Brainchild Design",1998-01-01
1636,"Jungle Book, The",1994,"Virgin Interactive","Virgin Interactive",1994-01-01
1637,"The Jungle Book: A Story Painting Adventure",1995,"Novotrade International",EA*Kids,1995-01-01
1638,"Jungle Hunt",1983,Taito,Atari,1983-01-01
1639,"Jungle Strike",1993,"Ocean Software","Electronic Arts",1993-01-01
1640,"Jurassic Park","","","",
1641,"Just Grandma and Me","","","",
1642,Jutland,"","","",
1643,"Kamikazi Alien",1982,"VeriSoft Works","VeriSoft Works",1982-01-01
1644,Kampfgruppe,1985,"Strategic Simulations","Strategic Simulations",1985-01-01
1645,Karateka,1984,"Jordan Mechner","Brøderbund",1984-01-01
1646,Karnov,1989,"Data East","Data East",1989-01-01
1647,"Kasparov's Gambit",1993,"Heuristic Software","Electronic Arts",1993-01-01
1648,"Keef the Thief",1989,"Naughty Dog","Electronic Arts",1989-01-01
1649,"Keen Dreams",1991,"id Software",Softdisk,1991-01-01
1650,"Ken's Labyrinth",1993,"Ken Silverman","Epic Megagames",1993-01-01
1651,Kentris,1991,"Ken Silverman","Ken Silverman",1991-01-01
1652,"Keys to Maramon, The",1991,"Knight Tech",Mindcraft,1991-01-01
1653,KGB,1992,"Cryo Interactive","Virgin Entertainment",1992-01-01
1654,Khalaan,1990,Mirrorsoft,"Rainbow Arts",1990-01-01
1655,"Kick Off 2",1990,"Dino Dini",Anco,1990-01-01
1656,"Kick Off 3",1992,"Dino Dini",Anco,1992-01-01
1657,"Kick Off 96",1996,"Dino Dini",Anco,1996-01-01
1658,"Kick Off 97",1997,"Dino Dini",Anco,1997-01-01
1659,"Kick Off 98",1998,"Dino Dini",Anco,1998-01-01
